Duration,opc
2005,2351969410.0
2006,3250238521.0
2007,-278345119.0
2008,-36371930918.0
2009,28038817149.0
2010,-51169593073.0
2011,-23668560277.0
2012,31584007987.0
2013,-2346919716.0
2014,2600205982.0
2015,17777222450.0
2016,-4981282625.0
2017,-772560397.0
2018,4125513450.0
2019,6235955009.0
2020,28167017442.0
2021,799936062.0
2022,-410821576496.0
