Item,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
10. Chi phí quản lý doanh nghiệp,20713149592.0,13449240947.0,24456613961.0,37155246128.0,20864225844.0,14171633743.0,24220157740.0,37039835396.0,19922155309.0,17923035812.0,21861039084.0,24297528064.0,24297528064.0,18197821018.0,23397953311.0,26326656741.0,30032446198.0,26145673084.0,26519662948.0,28957725790.0,59238362838.0,24584217780.0,31665922867.0,32974820877.0,37949383033.0,31031741052.0,35208269385.0,38914342861.0,55190505765.0,43653884899.0,43156206201.0,42397170300.0,54417932193.0,48704956652.0,52092694804.0,78929628355.0,90128625423.0,73281817422.0,48817718365.0,71800406349.0,87458562026.0,80331308003.0,46761154859.0,109510522963.0,51228351412.0,77007889165.0,56552785358.0,115449943526.0,114698546965.0,80684388866.0,78662028464.0,105955567868.0,129768046742.0,113548837824.0,125347911855.0,124105022188.0,115324339905.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),2515676321.0,27196660230.0,13388667104.0,103842209523.0,13612548349.0,24993601969.0,2947891654.0,40770713156.0,-25018715315.0,6023934722.0,-9312577511.0,5361345749.0,-62973368428.0,-3353058449.0,10394054997.0,6124198398.0,1096764181.0,-6384398024.0,11788849249.0,34944734477.0,-4661639454.0,12202990830.0,26925408669.0,45961102274.0,25730878621.0,18194303001.0,42354909682.0,58243698828.0,31540899732.0,32775261741.0,47214915467.0,60424537997.0,35656492434.0,36027273163.0,93073245861.0,64555665710.0,9477017046.0,51117877518.0,69802174465.0,68150894700.0,54102624033.0,27324286864.0,77871402469.0,95225675296.0,46653207164.0,48266644071.0,83728429877.0,98986665842.0,66016782706.0,72017379807.0,108302052782.0,132106302510.0,72972787043.0,105898268614.0,107139317273.0,132332852017.0,55940260798.0
12. Thu nhập khác,930152677.0,1105496361.0,-322941899.0,1834324387.0,1598918845.0,-1324825740.0,15756822601.0,801392028.0,-9590902236.0,3228344476.0,4582554178.0,358705137.0,3848936759.0,720552360.0,1037918054.0,2232967351.0,527893496.0,554430803.0,2795434738.0,12655497273.0,-11787794351.0,527997480.0,7952762798.0,5029771186.0,1787112050.0,2987402280.0,2263635171.0,9377217419.0,1318567240.0,4320746915.0,2088744231.0,4698053774.0,3516607625.0,5573586599.0,2751998851.0,7167471783.0,2913087364.0,5227860565.0,1101968614.0,14116451433.0,4485423977.0,4396705018.0,3103905926.0,5562930867.0,2034552230.0,2771188548.0,-1248684422.0,2621767044.0,2959845535.0,1807184830.0,2731642483.0,4549189973.0,457120589.0,914222537.0,-128497678.0,3901793882.0,1022011335.0
13. Chi phí khác,481187926.0,594606083.0,411622464.0,206641609.0,781078720.0,-229902615.0,3946798288.0,1481590892.0,-1581469001.0,1915913759.0,-459579893.0,1551401619.0,4386900625.0,764274865.0,1181620739.0,2321645932.0,501000274.0,344550342.0,3870476337.0,14928990276.0,-11683808763.0,457022170.0,960108677.0,1931411709.0,862216326.0,943964337.0,269834491.0,7371616826.0,-2682003849.0,3091967586.0,-565625113.0,1884385549.0,-929289414.0,1319750181.0,180720380.0,1040630244.0,315153633.0,492120522.0,863728686.0,2910808627.0,1253109566.0,1240702003.0,1440307559.0,4607705461.0,-4069310376.0,759109583.0,1679358650.0,2133336925.0,952773761.0,697817302.0,8997750191.0,816468558.0,2924736494.0,684108980.0,-157858469.0,3187629171.0,1140464442.0
14. Lợi nhuận khác (12)-(13),448964751.0,510890278.0,-734564363.0,1627682778.0,817840125.0,-1094923125.0,11810024313.0,-680198864.0,-8009433235.0,1312430717.0,5042134071.0,-1192696482.0,-537963866.0,-43722505.0,-143702685.0,-88678581.0,26893222.0,209880461.0,-1075041599.0,-2273493003.0,-103985588.0,70975310.0,6992654121.0,3098359477.0,924895724.0,2043437943.0,1993800680.0,2005600593.0,4000571089.0,1228779329.0,2654369344.0,2813668225.0,4445897039.0,4253836418.0,2571278471.0,6126841539.0,2597933731.0,4735740043.0,238239928.0,11205642806.0,3232314411.0,3156003015.0,1663598367.0,955225406.0,6103862606.0,2012078965.0,-2928043072.0,488430119.0,2007071774.0,1109367528.0,-6266107708.0,3732721415.0,-2467615905.0,230113557.0,29360791.0,714164711.0,-118453107.0
15. Tổng lợi nhuận kế toán trước thuế (11)+(14),2964641072.0,27707550508.0,12654102741.0,105469892301.0,14430388474.0,23898678844.0,14757915967.0,40090514292.0,-33028148550.0,7336365439.0,-4270443440.0,4168649267.0,-63511332294.0,-3396780954.0,10250352312.0,6035519817.0,1123657403.0,-6174517563.0,10713807650.0,32671241474.0,-4765625042.0,12273966140.0,33918062790.0,49059461751.0,26655774345.0,20237740944.0,44348710362.0,60249299421.0,35541470821.0,34004041070.0,49869284811.0,63238206222.0,40102389473.0,40281109581.0,95644524332.0,70682507249.0,12074950777.0,55853617561.0,70040414393.0,79356537506.0,57334938444.0,30480289879.0,79535000836.0,96180900702.0,52757069770.0,50278723036.0,80800386805.0,99475095961.0,68023854480.0,73126747335.0,102035945074.0,135839023925.0,70505171138.0,106128382171.0,107168678064.0,133047016728.0,55821807691.0
16. Chi phí thuế TNDN hiện hành,681867447.0,4685766080.0,6524616473.0,20699766765.0,3607597118.0,6096770584.0,6225989061.0,7364017632.0,-8645270447.0,1467273088.0,1370572951.0,833729854.0,0.0,312273980.0,3762434539.0,0.0,813329275.0,539961144.0,4669638931.0,2290000000.0,429814254.0,50376067.0,1482748508.0,6296522838.0,2985919698.0,823711489.0,3005380384.0,6980227555.0,12744196778.0,5748497427.0,7998422070.0,9665762109.0,7091768342.0,5715919702.0,11155308474.0,9297490573.0,12970684189.0,6809010818.0,10369315846.0,17104156767.0,14862352963.0,8937184532.0,15863108136.0,13044970926.0,12487850945.0,7500561851.0,15325295779.0,11386739486.0,14414289953.0,10668355089.0,15485833966.0,16689319897.0,9024424675.0,14199960501.0,19412890777.0,8764248899.0,4736435098.0
17. Chi phí thuế TNDN hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312273980.0,312273980.0,-1284436454.0,0.0,-488318502.0,30519906.0,1599326856.0,0.0,1150447492.0,44335936.0,235508746.0,0.0,-147603685.0,-163150977.0,406968738.0,11472378.0,-13942038.0,17353201.0,-12140541.0,19217612.0,9780558.0,-121628312.0,-350353663.0,466428828.0,-509902706.0,-19217612.0,-48215784.0,4741906.0,20084714.0,3828048.0,20998572.0,19217612.0,-9780556.0,19217612.0,-13314459.0,21269223.0,-7728945.0,48349779.0,-7728945.0,-13574441.0,-1493327037.0,-478760109.0,1949234020.0
18. Chi phí thuế TNDN (16)+(17),681867447.0,4685766080.0,6524616473.0,20699766765.0,3607597118.0,6096770584.0,6225989061.0,7364017632.0,-8645270447.0,1467273088.0,1370572951.0,833729854.0,0.0,312273980.0,4074708519.0,312273980.0,-471107179.0,539961144.0,4181320429.0,2320519906.0,2029141110.0,50376067.0,2633196000.0,6340858774.0,3221428444.0,823711489.0,2857776699.0,6817076578.0,13151165516.0,5759969805.0,7984480032.0,9683115310.0,7079627801.0,5735137314.0,11165089032.0,9175862261.0,12620330526.0,7275439646.0,9859413140.0,17084939155.0,14814137179.0,8941926438.0,15883192850.0,13048798974.0,12508849517.0,7519779463.0,15315515223.0,11405957098.0,14400975494.0,10689624312.0,15478105021.0,16737669676.0,9016695730.0,14186386060.0,17919563740.0,8285488790.0,6685669118.0
19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),2282773625.0,23021784428.0,6129486268.0,84770125536.0,10822791356.0,17801908260.0,8531926906.0,32726496660.0,-24382878103.0,5869092351.0,-5641016391.0,3334919413.0,-63511332294.0,-3709054934.0,6175643793.0,5723245837.0,1594764582.0,-6714478707.0,6532487221.0,30350721568.0,-6794766152.0,12223590073.0,31284866790.0,42718602977.0,23434345901.0,19414029455.0,41490933663.0,53432222843.0,22390305305.0,28244071265.0,41884804779.0,53555090912.0,33022761672.0,34545972267.0,84479435300.0,61506644988.0,-545379749.0,48578177915.0,60181001253.0,62271598351.0,42520801265.0,21538363441.0,63651807986.0,83132101728.0,40248220253.0,42758943573.0,65484871582.0,88069138863.0,53622878986.0,62437123023.0,86557840053.0,119101354249.0,61488475408.0,91941996111.0,89249114324.0,124761527938.0,49136138573.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,0.0,0.0,-1144538267.0,402725111.0,-29501545.0,-190322077.0,-127342836.0,0.0,-1348953339.0,-568822457.0,-772113095.0,-710919478.0,-821223813.0,-273537575.0,-3615072359.0,536781214.0,3085693954.0,-341971130.0,-80227374.0,3471928631.0,3429996223.0,427253556.0,2680715384.0,3021398512.0,2408604200.0,3890173238.0,7698981308.0,10290413046.0,7331715074.0,7624659206.0,6110228051.0,10621417233.0,9190448123.0,8032128314.0,15144962521.0,10642180114.0,12322943684.0,10374563305.0,12581635922.0,15036830029.0,16724752540.0,12947000068.0,40440898878.0,16129346794.0,-4994126115.0,14405440310.0,18740550342.0,16223958355.0,16312094708.0,18348497252.0,21094106993.0,20764854813.0,18057823123.0,12039825382.0,13143197152.0,13158998719.0,6229895896.0
21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20),2282773625.0,23021784428.0,7274024535.0,84367400425.0,10852292901.0,17992230337.0,8659269742.0,32726496660.0,-23033924764.0,6437914808.0,-4868903296.0,4045838891.0,-62690108481.0,-3435517359.0,9790716152.0,5186464623.0,-1490929372.0,-6372507577.0,6612714595.0,26878792937.0,-10224762375.0,11796336517.0,28604151406.0,39697204465.0,21025741701.0,15523856217.0,33791952355.0,43141809797.0,15058590231.0,20619412059.0,35774576728.0,42933673679.0,23832313549.0,26513843953.0,69334472779.0,50864464874.0,-12868323433.0,38203614610.0,47599365331.0,47234768322.0,25796048725.0,8591363373.0,23210909108.0,67002754934.0,45242346368.0,28353503263.0,46744321240.0,71845180508.0,37310784278.0,44088625771.0,65463733060.0,98336499436.0,43430652285.0,79902170729.0,76105917172.0,111602529219.0,42906242677.0
