Item,Q1 2007,Q2 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
10. Chi phí quản lý doanh nghiệp,4433134219.0,5202737323.0,10706527917.0,7091596914.0,9057968605.0,9065781677.0,13023628490.0,9103570190.0,8726299929.0,9569575046.0,14127025450.0,10073446005.0,12233472767.0,13830632299.0,18992193970.0,15885210081.0,12811788470.0,10406173756.0,11117523924.0,10131190403.0,11566728627.0,11205043480.0,13269002683.0,10777375566.0,11859627131.0,11140990832.0,13940098636.0,11240546649.0,11756465226.0,13073019768.0,20554753340.0,13715717988.0,12889458970.0,15841690106.0,17730950491.0,12466424314.0,12962534509.0,15025274026.0,19372241428.0,14280283794.0,14793360113.0,15155678072.0,19769353274.0,15012921412.0,15947381761.0,16925673032.0,24621496737.0,15328200860.0,16556751456.0,15982053396.0,19894781443.0,15111747006.0,13823199657.0,14181578128.0,16544099731.0,12798711986.0,13098025347.0,8559854636.0,15207477316.0,13818990638.0,17076734116.0,712397217.0,858938268.0,723415033.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),9986145964.0,12731845415.0,19954764437.0,20425909735.0,25028352679.0,22826303099.0,8643732204.0,10517038821.0,23932826745.0,22011564081.0,32045751220.0,10791051052.0,23368890498.0,16870091056.0,12026099029.0,8163910002.0,15326740980.0,12003092416.0,10857444373.0,8815712036.0,12294108515.0,8550929566.0,10915904944.0,5393759866.0,9941424974.0,24379008437.0,24026020648.0,10279964084.0,21610373233.0,14222570221.0,24638124787.0,10579896024.0,26973931136.0,16372284521.0,17836197610.0,7804703858.0,42220863544.0,9509005115.0,14763364845.0,-2644543058.0,20463833164.0,-3998861477.0,548173009.0,12331217391.0,25049874536.0,11570317309.0,-951923657.0,20434530960.0,2795868779.0,7190429244.0,-11708277787.0,15226977444.0,-2559998003.0,8109790813.0,-329008722.0,8784470009.0,-1628163370.0,6354517835.0,3771942008.0,5984657141.0,251572413325.0,2915669685.0,4188454070.0,1227294386.0
12. Thu nhập khác,63895810.0,368349426.0,105877545.0,87744424.0,739388329.0,181558752.0,2506017794.0,823139082.0,143942996.0,3301481405.0,1169608912.0,315745244.0,278567987.0,568033863.0,3400540720.0,1364971911.0,964827521.0,1704387561.0,1039187449.0,3088463264.0,4801667449.0,7944933117.0,3638017071.0,2288717818.0,2703490516.0,1879097572.0,2425640984.0,409371129.0,599550944.0,5710733267.0,4991727656.0,1959968097.0,-852926982.0,2980988283.0,3441313437.0,687428929.0,1184295499.0,2803208165.0,2527487018.0,3976363037.0,10006617597.0,5545475562.0,2674168533.0,395033457.0,1790750543.0,2930252207.0,3020085685.0,925448072.0,1734195050.0,7197784739.0,1114634269.0,264555557.0,1596181936.0,373801250.0,2398942995.0,218986191.0,663876868.0,251717124.0,1017013804.0,1436905129.0,887399757.0,0.0,0.0,0.0
13. Chi phí khác,11583864.0,281944340.0,362149538.0,370235891.0,654056621.0,40573742.0,2498968319.0,354545747.0,32406201.0,88704708.0,1000171778.0,29355644.0,49894692.0,61710498.0,579943841.0,894475436.0,509919206.0,560004154.0,967208279.0,54993494.0,1657933539.0,4264660542.0,680881430.0,456402064.0,1401769586.0,416390085.0,1572681041.0,13868337.0,602738545.0,3008095551.0,1694125511.0,1342388081.0,-954767140.0,194623876.0,168658577.0,173767661.0,154971658.0,2617200.0,1144088.0,39693232.0,-6967275.0,30981021.0,22832564.0,17573531.0,15241797.0,16576180.0,50956011.0,12022583.0,10123233.0,26827859.0,11036531.0,10501728.0,754948846.0,66558422.0,3789780878.0,18657744.0,14729824.0,22716273.0,61025679.0,26793755.0,41141116.0,57060892.0,20000000.0,0.0
14. Lợi nhuận khác (12)-(13),52311946.0,86405086.0,-256271993.0,-282491467.0,85331708.0,140985010.0,7049475.0,468593335.0,111536795.0,3212776697.0,169437134.0,286389600.0,228673295.0,506323365.0,2820596879.0,470496475.0,454908315.0,1144383407.0,71979170.0,3033469770.0,3143733910.0,3680272575.0,2957135641.0,1832315754.0,1301720930.0,1462707487.0,852959943.0,395502792.0,-3187601.0,2702637716.0,3297602145.0,617580016.0,101840158.0,2786364407.0,3272654860.0,513661268.0,1029323841.0,2800590965.0,2526342930.0,3936669805.0,10013584872.0,5514494541.0,2651335969.0,377459926.0,1775508746.0,2913676027.0,2969129674.0,913425489.0,1724071817.0,7170956880.0,1103597738.0,254053829.0,841233090.0,307242828.0,-1390837883.0,200328447.0,649147044.0,229000851.0,955988125.0,1410111374.0,846258641.0,-57060892.0,-20000000.0,0.0
15. Tổng lợi nhuận kế toán trước thuế (11)+(14),10038457910.0,12818250501.0,19698492444.0,20143418268.0,25113684387.0,22967288109.0,8650781679.0,10985632156.0,24044363540.0,25224340778.0,32215188354.0,11077440652.0,23597563793.0,17376414421.0,14846695908.0,8634406477.0,15781649295.0,13147475823.0,10929423543.0,11849181806.0,15437842425.0,12231202141.0,13873040585.0,7226075620.0,11243145904.0,25841715924.0,24878980591.0,10675466876.0,21607185632.0,16925207937.0,27935726932.0,11197476040.0,27075771294.0,19158648928.0,21108852470.0,8318365126.0,43250187385.0,12309596080.0,17289707775.0,1292126747.0,30477418036.0,1515633064.0,3199508978.0,12708677317.0,26825383282.0,14483993336.0,2017206017.0,21347956449.0,4519940596.0,14361386124.0,-10604680049.0,15481031273.0,-1718764913.0,8417033641.0,-1719846605.0,8984798456.0,-979016326.0,6583518686.0,4727930133.0,7394768515.0,252418671966.0,2858608793.0,4168454070.0,1227294386.0
16. Chi phí thuế TNDN hiện hành,2335928678.0,3815617668.0,5557995765.0,5430820801.0,6919124739.0,6445038885.0,2700973292.0,2600781866.0,5498953630.0,6063666283.0,7254043207.0,3030567110.0,5709927110.0,4845382053.0,4303910541.0,2177175175.0,3829663248.0,3476988567.0,3183674682.0,3338616874.0,4133359214.0,4185677049.0,3624021014.0,1978274039.0,2741655157.0,6612545961.0,6253219600.0,2336187351.0,4696539037.0,3451480550.0,6270846537.0,2112711352.0,5712709088.0,3903801814.0,4731004650.0,1435755031.0,8977572283.0,2639310225.0,3268720990.0,1109288978.0,5493438193.0,434041375.0,436996654.0,2805287495.0,5377811345.0,2880821756.0,466789650.0,4310691368.0,728911276.0,2674560815.0,-2133024252.0,3416367687.0,152942474.0,1627032336.0,-851042461.0,1727247455.0,-84324978.0,1752578886.0,927471013.0,1395371834.0,52052611667.0,594533937.0,852788592.0,270094176.0
17. Chi phí thuế TNDN hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4391754.0,387508.0,553583.0,-31546582.0,-55590581.0,-124735704.0,-57701885.0,442424004.0,255838428.0,341117905.0,71939090.0,-36641036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680451785.0,0.0,-505614027.0,0.0,-174837758.0,0.0,300176654.0,0.0,196754643.0,84395681.0,25217259.0,25362635.0,-20362427.0,102556108.0,109707446.0,69300181.0,-451732405.0,-307338291.0,-110146610.0,240919585.0,374620381.0,-30435192.0,-608995649.0,0.0,82682395.0,504873201.0,-80996988.0,-106758897.0,-399799711.0,0.0,0.0,0.0
18. Chi phí thuế TNDN (16)+(17),2335928678.0,3815617668.0,5557995765.0,5430820801.0,6919124739.0,6445038885.0,2700973292.0,2600781866.0,5498953630.0,6059274529.0,7254430715.0,3031120693.0,5678380528.0,4789791472.0,4179174837.0,2119473290.0,4272087252.0,3732826995.0,3524792587.0,3410555964.0,4096718178.0,4185677049.0,3624021014.0,1978274039.0,2741655157.0,6612545961.0,6253219600.0,2336187351.0,4696539037.0,3451480550.0,6270846537.0,2112711352.0,6393160873.0,3903801814.0,4225390623.0,1435755031.0,8802734525.0,2639310225.0,3568897644.0,1109288978.0,5690192836.0,518437056.0,462213913.0,2830650130.0,5357448918.0,2983377864.0,576497096.0,4379991549.0,277178871.0,2367222524.0,-2243170862.0,3657287272.0,527562855.0,1596597144.0,-1460038110.0,1727247455.0,-1642583.0,2257452087.0,846474025.0,1288612937.0,51652811956.0,594533937.0,852788592.0,270094176.0
19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),7702529232.0,9002632833.0,14140496679.0,14712597467.0,18194559648.0,16522249224.0,5949808387.0,8384850290.0,18545409910.0,19165066249.0,24960757639.0,8046319959.0,17919183265.0,12586622949.0,10667521071.0,6514933187.0,11509562043.0,9414648828.0,7404630956.0,8438625842.0,11341124247.0,8045525092.0,10249019571.0,5247801581.0,8501490747.0,19229169963.0,18625760991.0,8339279525.0,16910646595.0,13473727387.0,21664880395.0,9084764688.0,20682610421.0,15254847114.0,16883461847.0,6882610095.0,34447452860.0,9670285855.0,13720810131.0,182837769.0,24787225200.0,997196008.0,2737295065.0,9878027187.0,21467934364.0,11500615472.0,1440708921.0,16967964900.0,4242761725.0,11994163600.0,-8361509187.0,11823744001.0,-2246327768.0,6820436497.0,-259808495.0,7257551001.0,-977373743.0,4326066599.0,3881456108.0,6106155578.0,200765860010.0,2264074856.0,3315665478.0,957200210.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046208179.0,1229891792.0,1800521655.0,3604115782.0,616378400.0,1315229367.0,-102630807.0,729536896.0,820699298.0,137540953.0,474049401.0,562543645.0,524285493.0,-87342038.0,-1007711510.0,-303761495.0,267504640.0,157259766.0,850178354.0,824723334.0,1561743857.0,1061524331.0,1478965901.0,1297741982.0,2020682539.0,3875274466.0,2925270820.0,2754995432.0,2618570928.0,5368667887.0,2981535365.0,1700834869.0,1179549850.0,2396860708.0,10241677.0,227868076.0,2444114918.0,5678374048.0,3507516480.0,717518365.0,4300216303.0,1501457977.0,515689519.0,-2012137728.0,801186169.0,-1463857044.0,725513185.0,625464880.0,807542609.0,-731147192.0,-1360892477.0,451141024.0,758247416.0,2133631256.0,0.0,0.0,345956730.0
21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20),7702529232.0,9002632833.0,14140496679.0,14712597467.0,18194559648.0,16522249224.0,5949808387.0,7338642111.0,17315518118.0,17364544594.0,21356641857.0,7429941559.0,16603953898.0,12689253756.0,9937984175.0,5694233889.0,11372021090.0,8940599427.0,6842087311.0,7914340349.0,11428466285.0,9053236602.0,10552781066.0,4980296941.0,8344230981.0,18378991609.0,17801037657.0,6777535668.0,15849122264.0,11994761486.0,20367138413.0,7064082149.0,16807335955.0,12329576294.0,14128466415.0,4264039167.0,29078784973.0,6688750490.0,12019975262.0,-996712081.0,22390364492.0,986954331.0,2509426989.0,7433912269.0,15789560316.0,7993098992.0,723190556.0,12667748597.0,2741303748.0,11478474081.0,-6349371459.0,11022557832.0,-782470724.0,6094923312.0,-885273375.0,6450008392.0,-246226551.0,5686959076.0,3430315084.0,5347908162.0,198632228754.0,2264074856.0,3315665478.0,611243480.0
