Item,Q4 2002,Q4 2003,Q4 2004,Q4 2005,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá hàng tồn kho,,,0.0,0.0,,0.0,,,0.0,-1882002735.0,-1882002735.0,-1784308994.0,-1764267131.0,-6914183721.0,-6893975313.0,-5960422193.0,-25774642974.0,-8665740977.0,-8648712909.0,-18265775053.0,-12865666421.0,-11981819351.0,-9916810666.0,-11763634626.0,-11763634626.0,-18833150463.0,-22337708495.0,-21972681767.0,-14482909192.0,-10792414492.0,-8575337201.0,-28219147992.0,-18208972395.0,-24924631429.0,-17614076999.0,-22807750784.0,-26952214474.0,-79697060843.0,-66752294977.0,-76041676406.0,-56200505483.0,-63932037142.0,-79298649076.0,-80745055569.0,-99451971406.0,-63221663567.0,-57258863395.0,-54233686312.0,-45501702245.0,-3831528933.0,-3347147115.0,-3347147115.0,-3347147115.0,-60615450031.0,-60615450031.0,-71744080952.0,-65922717201.0,-65758167450.0,-75758167450.0,-75051102755.0,-79936690253.0,-114991977963.0,-122167832017.0,-126381554116.0,-120577334799.0,-115972426935.0,-107126976141.0,-99760597234.0,-108357035577.0,-155330302999.0,-150957890998.0,-150564103477.0,-138893241266.0
V. Tài sản ngắn hạn khác,6956000000.0,10618000000.0,10363000000.0,23958000000.0,68586142128.0,57620753534.0,132753949887.0,178281892046.0,133654055727.0,166326584630.0,172946053788.0,226172820349.0,192563812772.0,201773418216.0,267011348787.0,339533353887.0,276696406770.0,768583819647.0,793605081744.0,452980912131.0,461183922140.0,1136552137745.0,1157650358720.0,1118685393221.0,1162164232845.0,548583365899.0,716429279540.0,724478129680.0,782879238047.0,770100176297.0,781249322707.0,857956030586.0,870193458442.0,973237630705.0,1023998430965.0,1142543909890.0,1304991614313.0,1579589615663.0,1680752957138.0,1809497610068.0,1882526697762.0,1965780155376.0,1764615476252.0,1153711838143.0,1085431403053.0,1228704529014.0,1270746750727.0,1287356216076.0,1352810944174.0,1028437592804.0,1125890575501.0,1125847981061.0,1162339111731.0,1114432004386.0,1174435432461.0,915066672199.0,955133981878.0,997870072369.0,945030511634.0,867227145461.0,949407713265.0,934444320872.0,995606087754.0,597345121687.0,543530084801.0,578555687236.0,708092273105.0,717276380694.0,770339782743.0,981735303676.0,995105902574.0,1035254520683.0,1183255126184.0
1. Chi phí trả trước ngắn hạn,,,0.0,,,15336700225.0,,,26739943572.0,34631666257.0,29014776687.0,43333459805.0,34427696017.0,40333715778.0,52944887827.0,68085857472.0,42184313833.0,94162372035.0,100976192188.0,91455794290.0,92959827076.0,75741310600.0,82381696750.0,78604389586.0,89970816606.0,85587721116.0,95406394744.0,110417738398.0,112260419226.0,114530446202.0,123405716475.0,136722822364.0,158405211603.0,178529969119.0,195570589347.0,253751390550.0,420382532436.0,592435044749.0,626618116828.0,686789378296.0,708889715131.0,841035070964.0,751323579952.0,743512083028.0,674460444070.0,702763037416.0,762101695894.0,811372551157.0,854958251653.0,759958005740.0,879062494371.0,940997401052.0,975412895475.0,960963814812.0,1014072327438.0,737160640080.0,754311711208.0,694014932979.0,736072415840.0,648377095553.0,657711658110.0,620955206480.0,670749876274.0,334612045870.0,276299347871.0,290950472969.0,394619151977.0,397223198101.0,427201606844.0,409346699247.0,503245874090.0,516741835533.0,629748166454.0
2. Thuế giá trị gia tăng được khấu trừ,,,0.0,,,0.0,,,77803164869.0,130809485421.0,142240898779.0,161048420525.0,140605778613.0,143456784902.0,152047757091.0,186999269705.0,194364306132.0,209325081214.0,266037620568.0,288158716278.0,307569394185.0,310416905882.0,322477093640.0,282301428967.0,325199245786.0,398463044483.0,439848064438.0,529226113770.0,560026625492.0,621883774582.0,616464492514.0,668235619563.0,667442176882.0,757073611102.0,778715704056.0,826832399601.0,820779020481.0,921625024678.0,974306362930.0,987324750850.0,1063082406624.0,1104305492380.0,989512419762.0,386652180577.0,290490561487.0,402919823734.0,382252684590.0,358586393835.0,383579022032.0,156736254187.0,151913612547.0,147367655647.0,167530162696.0,138812602015.0,143417512671.0,125997016773.0,119707330514.0,175754512449.0,184878995972.0,176651765342.0,226543345349.0,268314490280.0,250943710339.0,240684478781.0,243800135652.0,256103808848.0,271297039032.0,299774201930.0,323529979594.0,385749208732.0,405706257428.0,477098404828.0,506465099172.0
3. Thuế và các khoản phải thu Nhà nước,,,0.0,,,40847030780.0,,,877404998.0,742752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12484036594.0,5995431079.0,13691842430.0,2312749659.0,3602881173.0,9142185395.0,7311033719.0,447595129.0,38095433386.0,24787177470.0,15214903433.0,11622502103.0,11090457959.0,11246620760.0,10250884895.0,10545861299.0,10025030013.0,10073920567.0,11330025833.0,12039414805.0,33743686340.0,46960819916.0,19969088786.0,13681331246.0,20439592032.0,23779476538.0,23547574538.0,120480397496.0,123021667864.0,126392370243.0,117397271084.0,114273670489.0,111743332877.0,94914468583.0,37482924362.0,19396053560.0,14655587559.0,16945592352.0,51909015346.0,81114940156.0,128100626941.0,24079099822.0,42198284566.0,65152709806.0,45174624112.0,73912501141.0,22048597036.0,23430601278.0,31501405419.0,42176082096.0,20278980663.0,19608196305.0,186639395697.0,86153771056.0,41414280322.0,47041860558.0
4. Giao dịch mua bán lại trái phiếu chính phủ,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Tài sản ngắn hạn khác,,,10363000000.0,,,1437022529.0,,,28233542288.0,884690200.0,1690378322.0,21790940019.0,17530338142.0,17982917536.0,62018703869.0,84448226710.0,40147786805.0,452612329804.0,420595837909.0,59674559133.0,58341951220.0,746791040090.0,743649382935.0,750468540949.0,746546575324.0,26437166914.0,156387642888.0,69619374079.0,98969691226.0,22595497554.0,30132492958.0,42746703764.0,33800208658.0,27609020471.0,39638216995.0,50630093906.0,51790646591.0,31785859896.0,32867657464.0,115414392136.0,96873244761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Tài sản cố định và đầu tư dài hạn,40517000000.0,62094000000.0,88532000000.0,198771000000.0,294999677944.0,335049982851.0,361205829428.0,446472993927.0,630562062143.0,979465006879.0,1230974405908.0,1373160968958.0,1388192285670.0,1402306271024.0,1435541483453.0,1522387349536.0,1654159932597.0,2541576050938.0,2762359278030.0,3021944841180.0,3263555925917.0,3673140870980.0,3426790153978.0,3428267771597.0,3523555591036.0,3614584884795.0,3615992189026.0,3617051481112.0,3654039608700.0,3988283980154.0,4152376684146.0,4249318985038.0,4439276954827.0,4663305002078.0,4777748478667.0,5037030653242.0,5098384624455.0,5697774385605.0,5886209643197.0,6340841830217.0,6849675532914.0,6773824789253.0,7233794788358.0,7543128306562.0,7484135769767.0,7830410830267.0,7739026250158.0,7824884427174.0,7926685854116.0,8972219294530.0,9119541571431.0,9528214377917.0,10619213737485.0,11352494084645.0,11829804916473.0,12526152004775.0,13844914861433.0,14620661733724.0,14839183674775.0,14938070369160.0,15284122357685.0,16141090782024.0,16568753168985.0,17346167199680.0,17589371624276.0,18579859430879.0,18983948809040.0,19135844889005.0,19857626692533.0,20721483952116.0,21216668704842.0,21765967171287.0,22580733074663.0
I. Các khoản phải thu dài hạn,,,0.0,194000000.0,0.0,100000000.0,100000000.0,0.0,0.0,5893620000.0,6240209830.0,6131016930.0,6103624830.0,6229624830.0,5254965860.0,126000000.0,126000000.0,771788810.0,939074250.0,1321289902.0,126000000.0,376000000.0,1673278786.0,376000000.0,376000000.0,1028639950.0,1028639950.0,1028639950.0,1028639950.0,1434084775.0,1245084775.0,1245084775.0,1235264525.0,1212664525.0,1109764526.0,1109764525.0,1109764525.0,0.0,13420067023.0,0.0,0.0,114739263408.0,354892184813.0,364224312786.0,343908769069.0,341282646583.0,386010703491.0,310414772418.0,319077395388.0,242466039605.0,247216967692.0,246396148990.0,254769962478.0,109788240926.0,126032832385.0,114090708904.0,249946553286.0,221517306313.0,331255073782.0,348427785518.0,371632861351.0,242872863326.0,245989451844.0,326698907178.0,168588399483.0,167244119883.0,187691154423.0,177183560180.0,198477998944.0,225090876189.0,223260548278.0,228789446693.0,237407427718.0
1. Phải thu dài hạn của khách hàng,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937569818.0,0.0,0.0,0.0,242327520000.0,242327520000.0,242327520000.0,242327520000.0,242327520000.0,161551680000.0,161551680000.0,161551680000.0,161551680000.0,161551680000.0,161551680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
