Duration,opc
2004,-41109741486.0
2005,-90049024240.0
2006,-482972376990.0
2007,1267643739402.0
2008,1990061372516.0
2009,-72990492282.0
2010,-28094778141.0
2011,-72909679529.0
2012,27193706692.0
2013,28104779918.0
2014,-524826033287.0
2015,-235935790265.0
2016,845077079145.0
2017,-839005488941.0
2018,496892358801.0
2019,2497312275589.0
2020,-545207779646.0
2021,-1044141515800.0
2022,1025897600155.0
