Duration,opc
2009,536886649.0
2010,1263015570.0
2011,4734552905.0
2012,-501253451.0
2013,907831568.0
2014,-1090216152.0
2015,1348297335.0
2016,4095356808.0
2017,4358986000.0
2018,-1389122910.0
2019,-221382251.0
2020,-611107008.0
2021,1383812454.0
2022,23253361957.0
