Date,NOPAT
2008,0.680093996
2009,0.8638993
2010,2.445960492
2011,3.177626728
2012,2.717093026
2013,2.057032874
2014,1.984796446
2015,1.797556434
2016,1.623494751
2017,1.829295515
2018,1.098226131
2019,1.138956122
2020,0.017429093
2021,5.667821303
2022,3.639206804
