Duration,opc
2006,275820356834.0
2007,11127077937.0
2008,41341102028.0
2009,214445811245.0
2010,-17612326688.0
2011,-52901004648.0
2012,191692531232.0
2013,4203853855.0
2014,-65653716745.0
2015,-207242536464.0
2016,337712608892.0
2017,-195185139186.0
2018,659250719827.0
2019,123536642819.0
2020,117201136878.0
2021,-9483354206.0
2022,-103790716108.0
