Item,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
12. Thu nhập khác,0.0,42677274.0,15637719.0,1620362353.0,8100000.0,10095792.0,8291392.0,8763625.0,5400000.0,10800000.0,7170007.0,55387025.0,4400000.0,397238364.0,157875060.0,147600000.0,5600000.0,37246030.0,60061720.0,477326947.0,40827719.0,24910491.0,37487333.0,53487182.0,0.0,500000.0,34756253.0,0.0,3000000.0,2000091.0,0.0,100058293.0,0.0,5000000.0,2000000.0,5000000.0,1700000.0,0.0,215560.0,0.0,11000000.0,43636363.0,0.0,159635805.0,50454545.0,1.0,0.0,0.0,0.0,95879169.0,0.0,10192.0,0.0,0.0,127545455.0,171990.0,141900.0
13. Chi phí khác,0.0,28050005.0,150507445.0,765602.0,304.0,41991812.0,2818.0,290310893.0,3274884.0,5496235.0,3463869.0,108568086.0,70101912.0,25094101.0,31912373.0,46358765.0,268560288.0,52210889.0,29522302.0,216051054.0,13346619.0,43517860.0,182868623.0,314794125.0,0.0,655712.0,0.0,443986234.0,0.0,225090772.0,463182.0,12407431.0,98028.0,739931854.0,0.0,3804240.0,3733171.0,60000.0,23375719.0,0.0,13999141.0,0.0,0.0,287682900.0,109141667.0,7786935.0,37816054.0,672210.0,988898.0,102015969.0,0.0,12618000.0,3471160.0,0.0,51250884.0,1557000.0,0.0
14. Lợi nhuận khác (12)-(13),0.0,14627269.0,-134869726.0,1619596751.0,8099696.0,-31896020.0,8288574.0,-281547268.0,2125116.0,5303765.0,3706138.0,-53181061.0,-65701912.0,372144263.0,125962687.0,101241235.0,-262960288.0,-14964859.0,30539418.0,261275893.0,27481100.0,-18607369.0,-145381290.0,-261306943.0,0.0,-155712.0,34756253.0,-443986234.0,3000000.0,-223090681.0,-463182.0,87650862.0,-98028.0,-734931854.0,2000000.0,1195760.0,-2033171.0,-60000.0,-23160159.0,0.0,-2999141.0,43636363.0,0.0,-128047095.0,-58687122.0,-7786934.0,-37816054.0,-672210.0,-988898.0,-6136800.0,0.0,-12607808.0,-3471160.0,0.0,76294571.0,-1385010.0,141900.0
15. Tổng lợi nhuận kế toán trước thuế (11)+(14),-369188497.0,-127989170.0,4267956147.0,5332490020.0,566972447.0,400727866.0,3465607689.0,5576699346.0,520987204.0,-1761722922.0,-2725215286.0,8488925158.0,-3252572148.0,907435817.0,1067687260.0,7016081202.0,144000777.0,424318791.0,-1248232795.0,6391855939.0,-623887207.0,1850533591.0,3691584457.0,2279692112.0,1046535712.0,-1944297157.0,1976845307.0,4298384639.0,1608674898.0,730080187.0,3081795872.0,2377452787.0,4110919000.0,493206505.0,4100677597.0,1401962045.0,1405830883.0,1070750006.0,1763285371.0,3403973917.0,696273612.0,5175416833.0,998357102.0,5449103540.0,2245734700.0,2754027128.0,2504718103.0,2989917671.0,1509680560.0,1932330895.0,-843274753.0,2023808842.0,1605156183.0,2817545178.0,7291911038.0,869307589.0,1903014344.0
16. Chi phí thuế TNDN hiện hành,0.0,0.0,0.0,606355954.0,141743112.0,100181966.0,866401922.0,1394174837.0,130246801.0,-130246801.0,0.0,791520476.0,339388061.0,360634455.0,-72574980.0,358442716.0,112775350.0,337967849.0,149100252.0,568268941.0,108167103.0,161695102.0,812156426.0,363288116.0,230237857.0,-230237857.0,237398450.0,878920364.0,321734980.0,191034192.0,571341019.0,644123635.0,822183800.0,123711277.0,795065543.0,489835689.0,281166177.0,238812635.0,327994440.0,726068561.0,139254722.0,1082463651.0,152291136.0,1164913198.0,449146940.0,608207578.0,500943621.0,538627214.0,301936112.0,414675319.0,0.0,-41692537.0,321031237.0,594607787.0,1458382208.0,127214574.0,380602869.0
17. Chi phí thuế TNDN hoãn lại,0.0,0.0,0.0,109857797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18. Chi phí thuế TNDN (16)+(17),0.0,0.0,0.0,716213751.0,141743112.0,100181966.0,866401922.0,1394174837.0,130246801.0,-130246801.0,0.0,791520476.0,339388061.0,360634455.0,-72574980.0,358442716.0,112775350.0,337967849.0,149100252.0,568268941.0,108167103.0,161695102.0,812156426.0,363288116.0,230237857.0,-230237857.0,237398450.0,878920364.0,321734980.0,191034192.0,571341019.0,644123635.0,822183800.0,123711277.0,795065543.0,489835689.0,281166177.0,238812635.0,327994440.0,726068561.0,139254722.0,1082463651.0,152291136.0,1164913198.0,449146940.0,608207578.0,500943621.0,538627214.0,301936112.0,414675319.0,0.0,-41692537.0,321031237.0,594607787.0,1458382208.0,127214574.0,380602869.0
19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),-369188497.0,-127989170.0,4267956147.0,4616276269.0,425229335.0,300545900.0,2599205767.0,4182524509.0,390740403.0,-1631476121.0,-2725215286.0,7697404682.0,-3591960209.0,546801362.0,1140262240.0,6657638486.0,31225427.0,86350942.0,-1397333047.0,5823586998.0,-732054310.0,1688838489.0,2879428031.0,1916403996.0,816297855.0,-1714059300.0,1739446857.0,3419464275.0,1286939918.0,539045995.0,2510454853.0,1733329152.0,3288735200.0,369495228.0,3305612054.0,912126356.0,1124664706.0,831937371.0,1435290931.0,2677905356.0,557018890.0,4092953182.0,846065966.0,4284190342.0,1796587760.0,2145819550.0,2003774482.0,2451290457.0,1207744448.0,1517655576.0,-843274753.0,2065501379.0,1284124946.0,2222937391.0,5833528830.0,742093015.0,1522411475.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297176474.0,486987929.0,517474378.0,410333291.0,327577921.0,161821349.0,484950066.0,213943952.0,554162564.0,183428791.0,231651878.0,533048473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20),-369188497.0,-127989170.0,4267956147.0,4616276269.0,425229335.0,300545900.0,2599205767.0,4182524509.0,390740403.0,-1631476121.0,-2725215286.0,7400228208.0,-4078948138.0,29326984.0,729928949.0,6330060565.0,-130595922.0,-398599124.0,-1611276999.0,5269424434.0,-915483101.0,1457186611.0,2346379558.0,1916403996.0,816297855.0,-1714059300.0,1739446857.0,3419464275.0,1286939918.0,539045995.0,2510454853.0,1733329152.0,3288735200.0,369495228.0,3305612054.0,912126356.0,1124664706.0,831937371.0,1435290931.0,2677905356.0,557018890.0,4092953182.0,846065966.0,4284190342.0,1796587760.0,2145819550.0,2003774482.0,2451290457.0,1207744448.0,1517655576.0,-843274753.0,2065501379.0,1284124946.0,2222937391.0,5833528830.0,742093015.0,1522411475.0
