Date,Sales
2008,86000851417
2009,95258046653
2010,113413229454
2011,114958313218
2012,126676849729
2013,126062908726
2014,95916624873
2015,122411836164
2016,241632266626
2017,287566501282
2018,200465793109
2019,185851596277
2020,234198781504
2021,87993219902
2022,283549838814
