Duration,opc
2007,-12434873037.0
2008,1696057272.0
2009,3679450389.0
2010,5039554521.0
2011,38776778184.0
2012,15502883247.0
2013,3683185741.0
2014,5518140743.0
2015,691418843.0
2016,23500878794.0
2017,2100952216.0
2018,5053947435.0
2019,8234309152.0
2020,11803732422.0
2021,15932907342.0
2022,40459940437.0
