Quarter,VLA,UNI,ST8,SRA,SMT,SGT,SAM,POT,ONE,KST,ITD,HIG,FPT,ELC,CMG,CKV
2020 Q2,325,1279,-2246,5,209,8,5451,1215,472,2103,5175,78984,1084222,9951,65485,1129
2020 Q3,80,-45,6820,5,2015,1,41341,2480,1418,2004,24748,142,1148631,4444,88069,544
2020 Q4,1822,-251,-260,4,6024,0,52650,12602,2441,2451,20131,-34722,1252589,12620,53623,-1928
2021 Q1,-2698,-583,7258,2,-2426,12,9497,111,1914,1208,3503,-5863,1150703,6343,62437,612
2021 Q2,-603,587,-977,12291,-1778,15412,3537,2570,419,1518,-9457,-539,1259666,8504,96232,1214
2021 Q3,-529,-57,4326,15085,603,5736,47992,385,935,-843,11903,12603,1374615,13297,119101,637
2021 Q4,9211,71,3881,32113,5812,40017,98165,10202,2284,2066,49275,-1150,1559815,18380,61488,-455
2022 Q1,5320,-63,6106,16024,15,189249,5928,556,1387,1284,-1411,-11429,1538558,13255,91942,255
2022 Q2,-3637,-131,200766,18711,-5330,-60417,29087,3941,2662,2223,11655,20869,1561574,10713,103624,1073
2022 Q3,1182,-697,2264,1093,-6042,6799,11321,1070,388,5834,14082,5815,1755997,12300,124762,536
2022 Q4,707,18,3316,1702,12752,-26049,-38281,9558,2016,742,-1249,19204,1619892,897,52220,274
2023 Q1,98,183,957,1038,-2563,5563,12852,560,-1872,1522,-2250,7201,1809799,3383,96717,445
2023 Q2,53,264,2073,1326,-3273,17171,4317,406,2505,1690,1702,16514,1855582,5028,80935,1323
2023 Q3,100,96,488,2374,1820,2551,7587,27,118,2130,1702,16514,2075869,35056,80935,463
