Item,Q4 2007,Q4 2008,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q4 2011,Q2 2012,Q4 2012,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giá trị hao mòn lũy kế,-12017527508.0,-16444067734.0,-18647926042.0,,-20571523417.0,-21260552343.0,-21776022999.0,-22039070433.0,-20809344915.0,-23614633066.0,-25583190107.0,-21675462287.0,-22193915533.0,-23402596799.0,-24779654417.0,-25912090911.0,-26988837959.0,-26055714367.0,-29119341730.0,-28199810583.0,-31272926584.0,-30203390989.0,-31114389041.0,-33932957937.0,-34927988597.0,-33801017046.0,-28238343623.0,-28705740720.0,-31164961757.0,-31619483632.0,-32057416157.0,-30443621284.0,-32771630685.0,-33156142862.0,-33566343133.0,-33705512320.0,-32144369144.0,-32567370936.0,-32992966831.0,-33481475689.0,-33951558912.0,-18613248862.0,-18645480943.0,-18414314960.0,-18443719481.0,-10694730493.0,-10655425055.0,-10665448634.0,-10371907443.0,-10413746534.0,-10456526534.0,-10494616324.0,-10539843548.0,-10604643648.0
2. Tài sản cố định thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63116643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63116643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Tài sản cố định vô hình,4638403151.0,4329498399.0,4211687227.0,3561763837.0,3754663872.0,3663598764.0,3641908584.0,3558766601.0,3475422678.0,3287852849.0,3138636685.0,2900885914.0,5133294212.0,4946769248.0,4747464313.0,4562390275.0,4387888371.0,4192242199.0,4008291699.0,3838307661.0,3681486727.0,3504701384.0,3338854842.0,3183580436.0,3017733896.0,2906109411.0,2735697870.0,2569691385.0,2394874788.0,2224463247.0,2054051708.0,1930239262.0,1882004779.0,1838175352.0,1794345928.0,1707498909.0,1653097348.0,1609825868.0,1570577042.0,1531312616.0,1492048190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá,5879313553.0,5879313553.0,5879313553.0,,5257756533.0,5257756533.0,5329506533.0,5340506533.0,5355483723.0,5187958321.0,5172981131.0,4951158321.0,7467823415.0,7467823415.0,7430634903.0,7445612093.0,7445612093.0,7430634903.0,7430634903.0,7430634903.0,7445612093.0,7430634903.0,7430634903.0,7445612093.0,7445612093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,7500392093.0,6912392093.0,6897414903.0,6897414903.0,6897414903.0,6897414903.0,6897414903.0,2970972284.0,0.0,2970972284.0,2970972284.0,189800000.0,189800000.0,189800000.0,189800000.0,189800000.0,189800000.0,0.0,0.0,0.0
Giá trị hao mòn lũy kế,-1240910402.0,-1549815154.0,-1667626326.0,,-1503092661.0,-1594157769.0,-1687597949.0,-1781739932.0,-1880061045.0,-1900105472.0,-2034344446.0,-2050272407.0,-2334529203.0,-2521054167.0,-2683170590.0,-2883221818.0,-3057723722.0,-3238392704.0,-3422343204.0,-3592327242.0,-3764125366.0,-3925933519.0,-4091780061.0,-4262031657.0,-4427878197.0,-4594282682.0,-4764694223.0,-4930700708.0,-5105517305.0,-5275928846.0,-5446340385.0,-5570152831.0,-5618387314.0,-5662216741.0,-5706046165.0,-5204893184.0,-5244317555.0,-5287589035.0,-5326837861.0,-5366102287.0,-5405366713.0,-2970972284.0,0.0,-2970972284.0,-2970972284.0,-189800000.0,-189800000.0,-189800000.0,-189800000.0,-189800000.0,-189800000.0,0.0,0.0,0.0
III. Bất động sản đầu tư,0.0,0.0,0.0,0.0,23790230456.0,23790230456.0,24347602194.0,24347602194.0,23505890741.0,22296592020.0,21691942662.0,21087293299.0,20482643941.0,20180319262.0,19877994578.0,19575669899.0,22038605870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16311419200.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0
Nguyên giá,0.0,0.0,0.0,0.0,0.0,23790230456.0,24347602194.0,24347602194.0,24789857165.0,24789857165.0,24789857165.0,24789857165.0,24789857165.0,24789857165.0,24789857165.0,24789857165.0,24789857165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16311419200.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0,15680620000.0
Giá trị hao mòn lũy kế,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1283966424.0,-2493265145.0,-3097914503.0,-3702563866.0,-4307213224.0,-4609537903.0,-4911862587.0,-5214187266.0,-2751251295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
