Duration,opc
2007,-135081373466.0
2008,53051507426.0
2009,21292268607.0
2010,50603996253.0
2011,-64172798219.0
2012,30898177193.0
2013,-116765121663.0
2014,65070670616.0
2015,-17434264201.0
2016,45484368622.0
2017,94366399939.0
2018,81398560457.0
2019,35171699084.0
2020,-169320673.0
2021,-73544071186.0
2022,-86019478818.0
